"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2013-10","2013","10","15.2","","5.5","","10.4","","25.1","","-3.5","","102.0","","0.0","","102.0","","0","","22","E","50","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2013-11","2013","11","5.9","","-2.9","","1.5","","15.4","","-13.7","","38.6","","6.8","","43.6","","3","","25","E","67","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2013-12","2013","12","-1.5","","-8.6","","-5.0","","15.3","","-20.0","S","37.4","","45.4","","71.6","","12","","26","E","50","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-01","2014","01","-4.9","","-13.7","","-9.3","","6.5","","-25.3","","14.4","","50.2","","53.8","","19","","23","E","61","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-02","2014","02","-4.2","","-14.1","","-9.2","","6.3","","-24.6","","12.6","","51.3","","57.4","","25","","23","E","61","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-03","2014","03","0.4","","-10.0","","-4.8","","12.6","","-22.4","","10.8","","29.7","","35.4","","0","T","36","E","54","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-04","2014","04","11.2","","0.5","","5.9","","21.9","","-7.6","","88.2","","1.4","","89.0","","0","","22","E","80","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-05","2014","05","19.4","","8.3","","13.9","","29.4","","1.5","","59.8","","0.0","","59.8","","0","","32","E","54","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-06","2014","06","25.2","","13.3","","19.3","","30.0","","7.2","S","102.4","","0.0","","102.4","","0","","25","E","69","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-07","2014","07","25.4","","13.7","","19.6","","29.8","","8.6","","159.8","","0.0","","159.8","","0","","32","E","52","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-08","2014","08","24.9","","14.1","","19.5","","30.5","","9.8","","94.6","","0.0","","94.6","","0","","31","E","50","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-09","2014","09","21.9","","9.9","","15.9","","30.4","","3.1","","128.4","","0.0","","128.4","","0","","31","E","57","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-10","2014","10","14.7","","6.0","","10.4","","23.2","","-0.7","","93.9","","0.0","T","93.9","","0","","26","B","59","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-11","2014","11","5.4","","-2.0","","1.7","","16.0","S","-9.6","","35.3","","18.3","","50.6","","0","","23","E","80","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2014-12","2014","12","2.3","","-3.4","","-0.6","","10.7","","-11.8","","16.9","","25.0","","37.8","","0","T","23","E","61","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2015-01","2015","01","-3.0","","-13.2","","-8.1","","4.8","","-21.5","","13.3","","23.5","","30.4","","6","","34","E","61","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2015-02","2015","02","-8.2","","-18.4","","-13.3","","-1.8","","-26.8","","0.0","","46.7","","36.8","","23","","32","B","56","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2015-03","2015","03","2.6","","-7.7","","-2.5","","10.2","","-20.8","","13.5","","4.2","","16.5","","0","","32","E","61","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2015-04","2015","04","12.9","","1.5","","7.2","","23.1","","-3.9","","79.1","","2.2","","80.3","","0","","23","I","67","I"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","2015-05","2015","05","22.1","I","9.0","I","15.6","I","29.1","I","3.3","I","23.2","I","0.0","I","23.2","I","","","26","I","54","I"
